id,name,da_ban,sku,price,list_price,discount,discount_rate,review_count,category
52329763,Kafka bên bờ biển (Tái Bản 2020),7013.0,1260147729717,136000,188000,52000,28,1200,nha-sach-tiki
45663008,Ngày Xưa Có Một Con Bò…(Tái Bản),11155.0,3744250775420,47700,70000,22300,32,1020,nha-sach-tiki
33492447,Mục Tiêu,43.0,7678874089808,183200,229000,45800,20,4,nha-sach-tiki
14684312,Dấn Thân (Tái Bản),254.0,6959263694003,95200,112000,16800,15,50,nha-sach-tiki
13446508,Cánh Đồng Bất Tận (Tái Bản 2019),272.0,9817946733340,76500,85000,8500,10,65,nha-sach-tiki
10581200,Dế Mèn Phiêu Lưu Ký (Tái Bản),915.0,7734142469588,41500,50000,8500,17,131,nha-sach-tiki
8121633,Văn Minh Vật Chất Của Người Việt,1955.0,9025147739225,227000,330000,103000,31,199,nha-sach-tiki
1647103,Bà Ngoại Tôi Gửi Lời Xin Lỗi,1225.0,5065948649037,119000,190000,71000,37,84,nha-sach-tiki
1080002,Boxset Harry Potter - Tiếng Việt (Trọn Bộ 7 Tập),10631.0,2519625242415,1095000,1750000,655000,37,1574,nha-sach-tiki
347334,Có Hai Con Mèo Ngồi Bên Cửa Sổ,24507.0,2511284177091,63000,100000,37000,37,1334,nha-sach-tiki
277916282,Tạp chí Đẹp T4/2025 (Số 295),5.0,4826620201450,65000,65000,0,0,0,nha-sach-tiki
277857243,Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng (Tập 12),66.0,8064157106895,139000,139000,0,0,2,nha-sach-tiki
277599506,Đôi mắt của Mona,0.0,5892845051131,287300,338000,50700,15,0,nha-sach-tiki
277599017,Dấu Ấn Hoàng Gia Tập 20,50.0,6447413860465,30000,30000,0,0,0,nha-sach-tiki
277587065,365 Ngày Ký Họa 5 Giây Vẽ Tất Tần Tật Mọi Thứ Trên Đời,25.0,6958885450786,149000,149000,0,0,0,nha-sach-tiki
277312609,Những Điều Bé Nhỏ Xinh Đẹp,77.0,4023314106188,130000,179000,49000,27,4,nha-sach-tiki
276777219,Chăm Sóc Bản Thân Thật Sự,199.0,3637882165249,106000,148000,42000,28,5,nha-sach-tiki
276377311,Ông trăm tuổi tái xuất và giải cứu thế giới (Jonas Jonasson),391.0,8208158390803,120000,190000,70000,37,31,nha-sach-tiki
274728364,Đại Việt Sử Ký Toàn Thư,696.0,2135392048609,191400,275000,83600,30,96,nha-sach-tiki
